GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ABCAirline-TeamB-Spring,com.myapp.spring.model,ProductFare,0,124,0,0,0,52,0,28,0,28
ABCAirline-TeamB-Spring,com.myapp.spring.model,Productnotify,18,38,0,0,7,17,1,11,1,11
ABCAirline-TeamB-Spring,com.myapp.spring.model,ProductLogin,0,26,0,0,0,12,0,6,0,6
ABCAirline-TeamB-Spring,com.myapp.spring.model,Productinvoice,51,115,0,0,18,50,1,33,1,33
ABCAirline-TeamB-Spring,com.myapp.spring.model,Product,0,86,0,0,0,36,0,18,0,18
ABCAirline-TeamB-Spring,com.myapp.spring.config,JdbcConfig,0,8,0,0,0,2,0,2,0,2
ABCAirline-TeamB-Spring,com.myapp.spring.repository,PassengerRepositoryFareImpl,63,28,3,1,7,5,4,4,2,4
ABCAirline-TeamB-Spring,com.myapp.spring.repository,PassengerRepositoryInvoiceImpl,25,3,0,0,2,1,2,1,2,1
ABCAirline-TeamB-Spring,com.myapp.spring.repository,PassengerRepositoryNotifyImpl,25,3,0,0,2,1,2,1,2,1
ABCAirline-TeamB-Spring,com.myapp.spring.repository,PassengerRepositoryImpl,80,3,0,0,6,1,3,1,3,1
ABCAirline-TeamB-Spring,com.myapp.spring.repository,PassengerRepositoryLoginImpl,48,3,0,0,4,1,3,1,3,1
ABCAirline-TeamB-Spring,com.myapp.spring.rest.api,PassengerApiFare,3,26,0,0,2,3,0,2,0,2
ABCAirline-TeamB-Spring,com.myapp.spring.rest.api,PassengerApiNotify,77,15,0,0,12,5,2,2,2,2
ABCAirline-TeamB-Spring,com.myapp.spring.rest.api,InvoicePassengerApi,227,3,0,0,35,1,2,1,2,1
ABCAirline-TeamB-Spring,com.myapp.spring.rest.api,PassengerApi,0,13,0,0,0,3,0,3,0,3
ABCAirline-TeamB-Spring,com.myapp.spring.rest.api,LoginApi,42,22,0,0,6,7,1,4,1,4
ABCAirline-TeamB-Spring,com.myapp.spring,ServletInitializer,9,3,0,0,1,1,1,1,1,1
ABCAirline-TeamB-Spring,com.myapp.spring,AirlineTeamBApplication,5,3,0,0,2,1,1,1,1,1
